Timestamp,timer.externalize_c,timer.externalize_libel,timer.finalize_c,timer.finalize_libel,timer.processnoise_c,timer.processnoise_libel,timer.stateinbounds_c,timer.stateinbounds_libel
80549,6,9,153,381,10,32,1,4
80569,6,44,226,30,10,33,1,4
80589,5,44,186,30,10,33,1,4
80609,6,44,160,30,10,33,1,4
80629,6,44,185,30,10,33,1,4
80649,6,44,10,30,11,33,1,4
80669,6,44,10,30,10,33,1,4
80689,5,44,213,30,10,33,1,4
80709,6,44,187,30,10,33,2,4
80729,6,44,11,30,10,33,1,4
80749,6,44,185,30,10,33,1,4
80769,6,44,41,30,11,33,1,4
80789,6,44,190,30,10,33,1,4
80809,5,44,10,30,10,33,1,4
80829,5,44,190,30,10,33,1,4
80849,6,44,10,30,10,33,1,4
80869,5,44,191,30,10,33,1,4
80889,6,44,210,30,10,33,1,4
80909,6,44,208,30,10,33,1,4
80929,5,44,207,30,10,33,1,4
80949,5,44,186,30,10,33,1,4
80969,5,44,210,30,10,33,1,4
80989,5,44,10,30,10,33,1,4
81009,5,44,224,30,10,33,1,4
81029,5,9,168,215,11,32,1,3
81049,5,9,171,263,10,32,1,4
81069,6,8,178,57,10,31,20,4
81089,6,8,178,57,10,31,2,4
81109,6,8,178,57,10,31,1,4
81129,5,8,181,57,10,31,1,4
81149,5,8,178,57,10,31,1,4
81169,6,8,213,57,10,31,1,4
81189,6,8,153,57,10,31,1,4
81209,6,8,153,57,10,31,1,4
81229,6,8,199,57,10,31,2,4
81249,5,8,328,57,10,31,2,4
81269,6,8,10,57,10,31,2,4
81289,6,8,188,57,11,31,1,4
81309,6,8,195,57,10,31,1,4
81329,5,8,177,57,10,31,1,4
81349,6,8,185,57,10,31,2,4
